Bridge ID,Functional class,Design load,Service on bridge,Service under bridge,Material (main),Structure type (main),Material (approach spans),Structure type (approach spans),Deck condition,Superstructure condition,Substructure condition,Deck structure type,Surface type,Membrane type,Deck protection,Age,Age (reconstructed),Average daily traffic,Year reconstructed,Year built,Cluster (deck),Cluster (superstructure),Cluster (substructure),Structural evaluation
0,7,0,1,5,1,11,0,0,1,3,2,1,6,0,0,82,51.0,532,1969,1938,2,1,3,3
1,6,4,1,5,1,11,1,2,4,1,5,1,1,0,0,71,,1891,0,1949,4,2,1,5
2,16,4,1,5,1,4,1,1,3,5,6,1,6,0,0,92,58.0,15904,1962,1928,3,4,2,9
3,9,5,1,5,3,2,1,1,3,2,4,1,1,0,0,40,,302,0,1980,2,3,2,4
4,6,2,1,5,1,4,0,0,2,4,2,1,6,0,0,91,60.0,3318,1960,1929,1,3,4,8
5,14,5,1,5,1,4,0,0,5,1,1,1,6,0,0,92,46.0,20471,1974,1928,1,3,3,8
6,6,5,1,5,3,2,1,1,2,3,4,1,1,0,0,53,,4869,0,1967,2,1,2,6
7,6,4,1,5,1,4,0,0,1,6,3,1,6,0,0,92,46.0,5396,1974,1928,3,4,1,9
8,6,4,1,5,1,4,0,0,4,4,2,1,6,0,0,58,,4178,0,1962,4,2,3,7
9,6,4,1,5,1,4,0,0,2,1,5,1,6,0,0,92,58.0,4081,1962,1928,2,4,1,5
10,6,5,1,5,1,1,0,0,6,3,4,1,6,0,0,59,,4190,0,1961,1,2,4,4
11,6,5,1,5,1,1,0,0,4,3,1,1,6,0,0,59,,4190,0,1961,4,2,2,7
12,6,5,1,5,1,1,0,0,2,5,1,1,6,0,0,59,,4190,0,1961,2,1,3,9
